,Bucket,Sentence
0,00::00::00,RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 BOc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RUc1 BOc1 RUc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 RUc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 RAc1 RAc1 RAc1 RAc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 RAc1 RAc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 RAc1 MPc1 MPc1 RUc1 RUc1 RUc1 RUc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RUc1 JYc1 JYc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RAc1 RAc1 RUc1 RAc1 RUc1 RAc1 RUc1 RAc1 MPc1 MPc1 MPc1 MPc1 MPc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 RAc1 RUc1 MPc1 MPc1 RAc1 MPc1 MPc1 RAc1 RUc1 MPc1 RAc1 RUc1 MPc1 MPc1 MPc1 MPc1 RUc1 MPc1 MPc1 MPc1 RUc1 RUc1 RUc1 RUc1 MPc1 MPc1 RUc1 MPc1 RUc1 RUc1 MPc1 RUc1 RUc1 MPc1 MPc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 MPc1 RUc1 MPc1 MPc1 RUc1 MPc1 RUc1 MPc1 RUc1 MPc1 MPc1 RUc1 MPc1 RUc1 MPc1 MPc1 MPc1 MPc1 RUc1 RUc1 RUc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 MPc1 RUc1 RUc1 RUc1 MPc1 RUc1 RUc1 MPc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 MPc1 MPc1 MPc1 RUc1 MPc1 MPc1 MPc1 MPc1 RUc1 MPc1 RUc1 MPc1 MPc1 MPc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 MPc1 HFOc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 MPc1 RUc1 HFOc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 MPc1 MPc1 RUc1 MPc1 MPc1 RUc1 MPc1 RUc1 MPc1 RUc1 MPc1 RUc1 MPc1 MPc1 RUc1 MPc1 RUc1 MPc1 RUc1 MPc1 MPc1 RUc1 MPc1 MPc1 RUc1 MPc1 MPc1 RUc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 MPc1 RUc1 MPc1 RAc1 RUc1 MPc1 RAc1 RUc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 RUc1 MPc1 RAc1 RUc1 MPc1 RUc1 MPc1 RAc1 RUc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 RUc1 MPc1 RAc1 RUc1 MPc1 RAc1 MPc1 RUc1 MPc1 RUc1 RUc1 RUc1 MPc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 MPc1 RUc1 RAc1 RAc1 RAc1 RUc1 RUc1 RUc1 RUc1 MPc1 MPc1 RUc1 MPc1 RUc1 MPc1 RUc1 RUc1 MPc1 MPc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 MPc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 MPc1 MPc1 RUc1 MPc1 RUc1 MPc1 RUc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 HFOc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RAc1 RAc1 RUc1 RAc1 RUc1 MPc1 RAc1 RUc1 RAc1 RUc1 RAc1 RUc1 RAc1 RAc1 RUc1 RAc1 RAc1 RUc1 RAc1 RAc1 RUc1 RAc1 RUc1 RAc1 RAc1 RAc1 RAc1 RUc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 MPc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 HFOc1 CKOc1 HFOc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 HFOc1 CKOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 CKOc1 HFOc1 HFOc1 CKOc1 CKOc1 HFOc1 CKOc1 MPc1 HFOc1 CKOc1 CKOc1 HFOc1 HFOc1 HFOc1 MPc1 CKOc1 HFOc1 MPc1 CKOc1 MPc1 CKOc1 CKOc1 HFOc1 CKOc1 HFOc1 MPc1 MPc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 HFOc1 CKOc1 HFOc1 CKOc1 HFOc1 CKOc1 HFOc1 HFOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 HFOc1 HFOc1 CKOc1 CKOc1 MPc1 MPc1 MPc1 CKOc1 HFOc1 MPc1 CKOc1 HFOc1 CKOc1 HFOc1 MPc1 CKOc1 HFOc1 HFOc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 HFOc1 HFOc1 HFOc1 CKOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 CKOc1 CKOc1 HFOc1 CKOc1 HFOc1 CKOc1 CKOc1 HFOc1 HFOc1 CKOc1 CKOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 HFOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 YOc1 CKOc1 YOc1 CKOc1 YOc1 YOc1 CKOc1 HFOc1 CKOc1 YOc1 YOc1 YOc1 CKOc1 YOc1 YOc1 CKOc1 HFOc1 YOc1 CKOc1 HFOc1 CKOc1 CKOc1 YOc1 YOc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 HFOc1 HFOc1 CKOc1 HFOc1 CKOc1 HFOc1 CKOc1 CKOc1 HFOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 CKOc1 HFOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 HFOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 HFOc1 HFOc1 CKOc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 HFOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 CKOc1 HFOc1 HFOc1 CKOc1 HFOc1 CKOc1 HFOc1 HFOc1 CKOc1 CKOc1 HFOc1 CKOc1 HFOc1 CKOc1 HFOc1 CKOc1 HFOc1 10TBc1 10TBc1 HFOc1 CKOc1 HFOc1 CKOc1 MPc1 CKOc1 HFOc1 YOc1 RAc1 MPc1 MPc1 HFOc1 10TBc1 CKOc1 YOc1 10TBc1 HFOc1 YOc1 YOc1 YOc1 YOc1 CKOc1 HFOc1 YOc1 CKOc1 HFOc1 YOc1 YOc1 YOc1 CKOc1 HFOc1 HFOc1 YOc1 YOc1 CKOc1 HFOc1 YOc1 CKOc1 HFOc1 YOc1 HFOc1 YOc1 CKOc1 CKOc1 YOc1 HFOc1 HFOc1 HFOc1 YOc1 HFOc1 HFOc1 CKOc1 HFOc1 CKOc1 HFOc1 HFOc1 CKOc1 HFOc1 YOc1 CKOc1 HFOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 CKOc1 HFOc1 YOc1 YOc1 YOc1 HFOc1 HFOc1 YOc1 YOc1 HFOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 CKOc1 HFOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 HFOc1 HFOc1 HFOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 CKOc1 HFOc1 YOc1 HFOc1 HFOc1 YOc1 HFOc1 HFOc1 YOc1 MPc1 YOc1 YOc1 RAc1 YOc1 YOc1 RAc1 YOc1 HFOc1 YOc1 YOc1 RAc1 YOc1 HFOc1 RAc1 YOc1 YOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 HFOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 RAc1 YOc1 YOc1 CKOc1 YOc1 YOc1 RAc1 YOc1 YOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 CKOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 HFOc1 HFOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 RAc1 YOc1 RAc1 YOc1 YOc1 RAc1 RAc1 YOc1 YOc1 YOc1 YOc1 YOc1 CKOc1 HFOc1 RAc1 YOc1 YOc1 YOc1 HFOc1 RAc1 YOc1 RAc1 YOc1 YOc1 CKOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 HFOc1 HFOc1 YOc1 10TBc1 HFOc1 HFOc1 YOc1 HFOc1 YOc1 YOc1 YOc1 YOc1 RAc1 YOc1 YOc1 YOc1 CKOc1 10TBc1 MPc1 CKOc1 YOc1 HFOc1 YOc1 CKOc1 HFOc1 CKOc1 HFOc1 HFOc1 CKOc1 CKOc1 HFOc1 CKOc1
1,00::00::01,RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 BOc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 BOc1 RAc1 RAc1 RAc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 RAc1 MPc1 MPc1 RAc1 MPc1 RAc1 MPc1 MPc1 RAc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 MPc1 RAc1 MPc1 MPc1 RAc1 MPc1 MPc1 MPc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 RAc1 MPc1 RAc1 RAc1 RAc1 RAc1 MPc1 RAc1 MPc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 MPc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 MPc1 MPc1 RAc1 MPc1 RAc1 MPc1 BOc1 MPc1 MPc1 MPc1 RAc1 MPc1 MPc1 RAc1 MPc1 RAc1 MPc1 RAc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 YOc1 10TBc1 10TBc1 YOc1 10TBc1 10TBc1 YOc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 10TBc1 YOc1 YOc1 YOc1 YOc1 YOc1 10TBc1 10TBc1 10TBc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1 YOc1
2,00::00::02,BOc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 BOc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 BOc1 RAc1 RUc1 RAc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RAc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RAc1 RUc1 RUc1 RUc1 RUc1 RUc1 RAc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RAc1 RAc1 RUc1 RUc1 RUc1
3,00::00::03,MPc1 MPc1 MPc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RAc1 RAc1 RAc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RAc1 RAc1 RAc1 RAc1 RUc1 RAc1 RAc1 RAc1 RAc1 RUc1 RUc1 RUc1 RUc1 RAc1 RUc1 RUc1 RUc1 RUc1 RUc1 RAc1 RAc1 RAc1 RAc1
4,00::00::04,BOc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RAc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1 RUc1
5,00::00::05,MPc1 MPc1 MPc1 MPc1 MPc1 RUc1 RUc1
6,00::00::06,MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 BOc1
7,00::00::08,MPc1 MPc1 MPc1
8,00::00::09,MPc1 MPc1 MPc1 MPc1 MPc1 MPc1 MPc1
9,00::00::11,MPc1 MPc1
