,Bucket,Sentence
898,04::12::13,JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 UROc1 UROc1 UROc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 UROc1 UROc1 JGBc1 JGBc1 JGBc1 UROc1 UROc1
899,04::12::14,JGBc1 JGBc1 JGBc1
900,04::13::07,BPc1
901,04::13::08,JGBc1 UROc1 UROc1
902,04::13::09,JGBc1 UROc1 UROc1 UROc1 UROc1 UROc1 JGBc1 UROc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1
903,04::13::10,JGBc1 JGBc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 JGBc1 JGBc1 UROc1 UROc1 JGBc1 UROc1 JGBc1 JGBc1 JGBc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1
904,04::13::11,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 JGBc1 UROc1 UROc1 UROc1 UROc1 JGBc1 JGBc1 UROc1 JGBc1 UROc1 JGBc1 JGBc1 JGBc1 JGBc1 UROc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 UROc1 UROc1 UROc1 UROc1
905,04::13::12,JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 JGBc1 UROc1 JGBc1 UROc1 UROc1 JGBc1 JGBc1 JGBc1 UROc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1 JGBc1
906,04::13::13,JGBc1 JGBc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 JGBc1 UROc1 UROc1 UROc1 UROc1 JGBc1 JGBc1 JGBc1 JGBc1 UROc1
907,04::13::14,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
908,04::13::15,JEYc1
909,04::14::08,UROc1 UROc1
910,04::14::09,UROc1 BPc1 BPc1 BPc1 BPc1 UROc1 UROc1
911,04::14::10,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 BPc1 BPc1 UROc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1 BPc1
912,04::14::11,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
913,04::14::12,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
914,04::14::13,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 JGBc1 JGBc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
915,04::14::14,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
916,04::15::08,UROc1
917,04::15::10,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
918,04::15::11,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
919,04::15::12,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
920,04::15::13,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
921,04::15::14,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
922,04::16::11,UROc1 UROc1
923,04::16::12,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
924,04::16::13,UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1 UROc1
925,04::16::14,UROc1 UROc1
926,04::17::18,BPc1 HGc1 JGBc1 UROc1 FCc1 UROc1 JGBc1 KTc1
927,05::00::00,Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Oc1 Oc1 Cc1 Cc1 Cc1 Cc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1
928,05::00::01,Oc1 Oc1 Oc1 Oc1 Cc1 Cc1 Cc1 Cc1 Wc1 Cc1 Cc1 Cc1 Wc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1
929,05::00::02,Wc1 Cc1 Cc1 Cc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1
930,05::00::03,Cc1 Cc1 Cc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1
931,05::00::08,NGc1
932,05::00::09,Wc1 Wc1 Wc1
933,05::00::10,Wc1 Wc1 Wc1
934,05::00::12,Cc1
935,05::00::18,HGc1
936,05::01::00,Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Cc1 Cc1 Cc1 Wc1 Wc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 KTc1 KTc1 KTc1 KTc1 KTc1 KTc1 KTc1 KTc1 KTc1 Oc1 Oc1 Oc1 Oc1
937,05::01::01,Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Wc1 Oc1 Oc1 Oc1 Oc1 Cc1 Oc1 Oc1 Wc1 Wc1 Wc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 KTc1 KTc1 HGc1 HGc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 Oc1 HGc1 HGc1 HGc1
938,05::01::02,Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Oc1 Cc1 Cc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1
939,05::01::03,Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Oc1 RBc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1
940,05::01::04,RBc1 Oc1 Oc1
941,05::01::07,NGc1
942,05::01::09,NGc1 NGc1 Wc1 Wc1 Wc1 Wc1
943,05::01::10,Wc1 Wc1
944,05::01::11,Wc1
945,05::01::15,Cc1
946,05::01::18,HGc1
947,05::02::00,Oc1 Cc1 Wc1 Wc1 Wc1 Wc1 Cc1 Wc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1
948,05::02::01,Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Cc1 Wc1 Cc1 Cc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Wc1 Cc1 Wc1 Wc1 Cc1 Cc1 Wc1 Wc1 Wc1 Wc1 Oc1 Oc1 Wc1 Oc1 Oc1 Oc1 Cc1 Wc1 Oc1 Oc1 Oc1 Oc1 Oc1 Wc1 Wc1 Wc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 Oc1 HGc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 Oc1 HGc1 HGc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1
949,05::02::02,Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Wc1 Wc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Wc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Oc1 Cc1 Cc1 Cc1 Cc1 Cc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 HOc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 HGc1 HGc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 HGc1 Oc1 HGc1 Oc1 HGc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 HGc1 HGc1 Oc1 Oc1 HGc1 Oc1 HGc1 HGc1
950,05::02::03,Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Cc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Cc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 Oc1 HGc1 Oc1 HGc1 Oc1 HGc1 HGc1 Oc1 HGc1 Oc1 HGc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 Oc1 Oc1 Oc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 Oc1 Oc1 Oc1 HGc1 Oc1 HGc1 HGc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 Oc1 Oc1 Oc1 Oc1 Oc1
951,05::02::04,Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 Oc1 HGc1 HGc1 Oc1 Oc1 Oc1
952,05::02::06,BPc1
953,05::02::08,NGc1 RBc1
954,05::02::09,Wc1 HOc1
955,05::02::10,Wc1 Wc1
956,05::02::18,HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1 HGc1
