0::10.0::Commodities::USA,FCc1 HOc1 LHc1 BOc1 BOc1 TTAc1 LHc1 LHc1 BOc1 YOc1
7::10.0::Commodities::USA,GCc1 LBc1 PLc1 SMc1 GCc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 PLc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 PAc1 SMc1 LBc1 LBc1 LBc1 LBc1 LBc1 LBc1 SMc1 LBc1 SMc1 LBc1 SMc1 LBc1 SMc1 LBc1 LBc1 SMc1 LBc1 LBc1 LBc1
8::10.0::Equity::HK,HSIc1 HSIc1 HSIc1
0::10.0::FX::USA,JYc1 MPc1 RAc1 HFOc1 CKOc1 CKOc1 CKOc1 JYc1 RAc1 BRc1 JYc1 RAc1
1::10.0::Commodities::USA,LCc1 LHc1 LHc1 LHc1 LHc1 LHc1 LCc1 LHc1 LHc1
7::10.0::Fixed Income::UK,FLGc1 FLGc1
9::10.0::Equity::USA,NKc1 NKc1 NKc1 NKc1
6::10.0::Commodities::USA,PAc1
8::10.0::Equity::USA,SPc1 SPc1 SPc1 SPc1 SPc1 SPc1 SPc1 SPc1
4::3.0::Fixed Income::Canada,BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 BAXc1 BAXc1 BAXc1 BAXc1 CGBc1 CGBc1 BAXc1 BAXc1 BAXc1 BAXc1 BAXc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1 CGBc1
